timestamp,boat_id,gps_lat,gps_long,particle_size_microns,concentration_ppm,depth_cm,collection_volume_ml,battery_status,power_source
2025-09-24 08:00:00,B1,19.02362,72.85238,9.3,1.77,10,419,88,solar
2025-09-24 08:03:00,B4,18.92683,72.7394,39.5,3.12,100,691,77,solar
2025-09-24 08:06:00,B5,18.95156,72.98846,44.8,1.22,10,569,64,solar
2025-09-24 08:09:00,B5,18.97036,72.87496,64.3,2.31,10,437,53,solar
2025-09-24 08:12:00,B5,19.17469,72.72029,27.0,2.09,100,665,45,solar
2025-09-24 08:15:00,B2,19.03695,72.81645,67.7,2.32,30,599,48,solar
2025-09-24 08:18:00,B5,19.0851,72.75872,43.7,1.76,70,493,43,solar
2025-09-24 08:21:00,B2,18.93467,72.88881,25.5,4.15,50,644,67,solar
2025-09-24 08:24:00,B1,18.93224,72.9904,25.8,0.85,20,674,42,solar
2025-09-24 08:27:00,B5,19.15539,72.74561,44.4,3.15,50,430,77,solar
2025-09-24 08:30:00,B1,19.17619,72.90186,45.7,4.43,100,630,66,solar
2025-09-24 08:33:00,B2,19.08015,72.83988,46.4,2.02,100,405,51,solar
2025-09-24 08:36:00,B4,18.91155,72.84919,38.0,2.63,50,637,63,solar
2025-09-24 08:39:00,B5,19.08622,72.82912,34.4,2.21,70,610,68,solar
2025-09-24 08:42:00,B1,19.13169,72.70451,30.0,1.88,30,684,79,solar
2025-09-24 08:45:00,B4,18.99337,72.99898,18.3,3.04,20,556,42,solar
2025-09-24 08:48:00,B4,18.9868,72.81671,46.5,0.74,50,442,41,solar
2025-09-24 08:51:00,B5,19.09649,72.85129,27.3,2.66,50,402,75,solar
2025-09-24 08:54:00,B4,18.98656,72.79734,22.8,1.5,20,569,82,solar
2025-09-24 08:57:00,B3,18.93004,72.87482,23.3,2.79,30,589,84,solar
2025-09-24 09:00:00,B1,19.13397,72.88979,21.0,1.76,20,509,99,solar
2025-09-24 09:03:00,B2,18.91452,72.85759,20.7,0.86,10,665,89,solar
2025-09-24 09:06:00,B2,18.92263,72.95399,25.0,2.91,30,585,55,solar
2025-09-24 09:09:00,B3,19.0927,72.75298,47.3,1.82,50,441,53,solar
2025-09-24 09:12:00,B4,19.00174,72.87,15.1,3.54,100,659,81,solar
2025-09-24 09:15:00,B5,19.04656,72.86024,30.6,2.42,70,694,97,solar
2025-09-24 09:18:00,B4,19.0454,72.95384,45.4,1.97,10,526,63,solar
2025-09-24 09:21:00,B1,19.09769,72.97508,32.8,2.42,10,526,54,solar
2025-09-24 09:24:00,B1,19.00532,72.7634,30.6,2.1,20,596,75,solar
2025-09-24 09:27:00,B5,19.0993,72.96403,21.5,1.94,50,675,74,solar
2025-09-24 09:30:00,B3,18.9131,72.87756,39.5,1.53,100,539,98,solar
2025-09-24 09:33:00,B1,19.06659,72.72621,1.7,2.87,10,542,74,solar
2025-09-24 09:36:00,B2,18.95007,72.93783,24.6,0.04,10,675,79,solar
2025-09-24 09:39:00,B5,18.91853,72.95612,37.0,3.2,30,409,73,solar
2025-09-24 09:42:00,B3,19.07097,72.92182,50.6,3.55,30,499,43,solar
2025-09-24 09:45:00,B4,19.0685,72.88193,14.2,0.94,70,684,96,solar
2025-09-24 09:48:00,B4,19.034,72.992,35.0,2.57,20,648,97,solar
2025-09-24 09:51:00,B1,19.04843,72.98622,20.9,4.03,10,517,60,solar
2025-09-24 09:54:00,B2,19.08715,72.92615,15.0,2.56,50,675,42,solar
2025-09-24 09:57:00,B5,18.94452,72.97231,41.3,2.62,70,516,47,solar
2025-09-24 10:00:00,B4,19.1316,72.74822,7.0,2.95,70,438,52,solar
2025-09-24 10:03:00,B3,19.04591,72.99692,21.6,1.78,70,661,73,solar
2025-09-24 10:06:00,B5,19.05756,72.98395,38.0,2.32,20,582,71,solar
2025-09-24 10:09:00,B4,19.12393,72.83691,54.3,4.0,20,586,71,solar
2025-09-24 10:12:00,B5,19.09249,72.83237,41.8,2.76,10,602,90,solar
2025-09-24 10:15:00,B4,18.95729,72.72746,30.3,3.18,70,582,70,solar
2025-09-24 10:18:00,B3,19.15558,72.75881,31.2,1.85,10,502,48,solar
2025-09-24 10:21:00,B5,18.99581,72.91292,39.6,3.65,10,434,79,solar
2025-09-24 10:24:00,B4,18.99605,72.93653,30.2,3.67,100,552,56,solar
2025-09-24 10:27:00,B5,18.99913,72.99106,23.4,2.28,100,601,57,solar
2025-09-24 10:30:00,B3,18.95438,72.86751,23.8,3.43,50,627,47,solar
2025-09-24 10:33:00,B4,18.91893,72.80353,46.9,3.31,50,612,60,solar
2025-09-24 10:36:00,B4,19.01998,72.88348,34.6,3.34,10,530,69,solar
2025-09-24 10:39:00,B5,19.02351,72.78244,46.5,3.09,50,604,88,solar
2025-09-24 10:42:00,B2,19.12963,72.77174,40.0,1.44,50,544,40,solar
2025-09-24 10:45:00,B2,19.03294,72.93686,33.0,3.21,50,640,95,solar
2025-09-24 10:48:00,B3,19.15651,72.88654,31.7,2.38,30,433,80,solar
2025-09-24 10:51:00,B2,18.92723,72.83125,38.3,2.82,10,512,64,solar
2025-09-24 10:54:00,B1,18.98148,72.8749,31.7,1.97,20,676,65,solar
2025-09-24 10:57:00,B5,19.12274,72.86004,32.6,2.82,20,636,80,solar
2025-09-24 11:00:00,B4,19.14403,72.72993,21.9,1.79,70,489,96,solar
